Complaint Name,External ID,IFI Support,Sector,Issues,"If No Eligibility, Why?"
4 MW Hydro Power Project Thack Chilas,no_id_25_24,,Other,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
"A4 Motorway, Zgorzelec - Krzyowa",SG/E/2015/07,Project/investment lending,Infrastructure,Other,
ABCI Investments,no_id_21_28,,Other,Other,Outside of mandate
ACME Energy-01,no_id_21_80,,Other,Other,Unknown
AD Hydro Power Limited-01/Himachal Pradesh,75,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",
AD Hydro Power Limited-02/Jagat Sukh,no_id_21_13,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",Issues previously raised
AEF Lesiolo Grain Handlers Limited-01/Nakuru,no_id_21_20,Project/investment lending,Manufacturing,Other,"Outside of mandate, Forwarded to other body within bank"
AES PNG-01/Roku Village,228,Project/investment lending,"Infrastructure, Manufacturing","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",
AES Sonel - Electricity Supply,SG/E/2014/01,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Labor, Other environmental",
AES Sonel-01/Douala,no_id_21_67,,Other,Other,Unknown
AES Sonel-02/Doula,198,Project/investment lending,"Energy, Infrastructure",Labor,
AK Khan WaterHealth-01/Dhaka,no_id_21_52,,Other,Other,Unknown
AREDP/ Kabul,no_id_21_83,,Other,Other,Unknown
AUSA Road Safety and Urban Mobility Program,MICI-AR-2014-081,Project/investment lending,Infrastructure,Pollution,"Outside of mandate, Issues previously raised"
AccessBank,no_id_21_72,,Other,Other,Unknown
Aconcagua-01/Santa Barbara,153,Equity Investment,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Other environmental",
Aden Free Zone Development,no_id_21_10,,Other,Other,Outside of mandate
Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),no_id_25_8,Advisory services,Infrastructure,Other,"Outside of mandate, Forwarded to other body within bank"
Africa Investco-01,186,"Equity Investment, Financial intermediary","Infrastructure, Other","Consultation and disclosure, Labor",
African Bank,no_id_21_18,,Other,Other,Outside of mandate
Africap Investment Fund,no_id_21_53,,Other,Other,Outside of mandate
Agri-Vie Fund-01/Kiboga,180,"Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",
Agri-Vie Fund-02/Mubende,181,"Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",
Agricultural Competitiveness Program,MICI-JA-2012-054,,Other,Other,Unknown
Agrifood Health and Quality Management Program (CCLIP),AR-MICI004-2012,Project/investment lending,Agribusiness,"Consultation and disclosure, Other community health and safety issues, Other environmental",
Agrokasa-01/Ica,139,Project/investment lending,Agribusiness,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",
Ak Altin Agricultural Development Project,no_id_25_16,Project/investment lending,Other,Other,"Outside of mandate, Forwarded to other body within bank"
Albania Hydros-01/Tirana,194,Advisory services,Energy,"Due diligence, Human rights, Other, Other gender-related issues",
Alex Dev-01/Wadi al-Qamar,234,Equity Investment,Manufacturing,"Consultation and disclosure, Due diligence, Labor, Other community health and safety issues, Pollution",
Alqueria-01/Cajica,201,"Equity Investment, Project/investment lending","Agribusiness, Manufacturing","Pollution, Water",
Altain Khuder debt & equity,2015/01,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",
Alterra,no_id_21_35,,Other,Other,Outside of mandate
Amaggi Expansion-01/IFC Executive Vice President Request,91,Project/investment lending,Agribusiness,"Consultation and disclosure, Due diligence, Other environmental",
Ambatovy,no_id_21_64,,Other,Other,Unknown
Ambatovy Nickel Project,SG/E/2012/04,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Due diligence, Livelihoods, Other community health and safety issues, Pollution",
Ambuklao-Binga Hydroelectric Power-01/Binga,85,Project/investment lending,"Energy, Infrastructure","Displacement (physical and/or economic), Indigenous peoples, Labor, Livelihoods",
