,IAM,eligible_rate,nan_rate,Complaint_Num
7,IFC_CAO,0.4600760456273764,0.14068441064638784,263.0
0,ADB_SPF_CRP,0.15315315315315314,0.036036036036036036,111.0
4,EIB_CM,0.6262626262626263,0.18181818181818182,99.0
6,IDB_MICI,0.15463917525773196,0.061855670103092786,97.0
12,WB_Panel,0.6082474226804123,0.030927835051546393,97.0
3,EBRD_PCM,0.24210526315789474,0.010526315789473684,95.0
1,AfDB_IRM,0.2916666666666667,0.25,24.0
10,OPIC_OA,0.36363636363636365,0.0,11.0
2,COES_CSR,1.0,0.0,6.0
5,FMO_ICM,0.25,0.0,4.0
9,JICA_EEG,0.25,0.0,4.0
8,JBIC_EEG,0.5,0.0,2.0
11,UNDP_SRM,0.0,1.0,1.0
