COMPLAINT_STATUS,COMPLIANCE_REVIEW_END_DATE,COMPLIANCE_REVIEW_START_DATE,COUNTRY,DATE_CLOSED,DISPUTE_RESOLUTION_END_DATE,DISPUTE_RESOLUTION_START_DATE,DOCUMENTS,ELIGIBILITY_END_DATE,ELIGIBILITY_START_DATE,ENVIRONMENTAL_CATEGORY,FILERS,FILING_DATE,HYPERLINK,IAM,IAM_ID,ISSUES,IS_COMPLIANCE_REPORT_ISSUED,MONITORING_END_DATE,MONITORING_START_DATE,PROJECT_ID,PROJECT_LOAN_AMOUNT,PROJECT_NAME,PROJECT_NUMBER,PROJECT_TYPE,REGISTRATION_END_DATE,REGISTRATION_START_DATE,RELATED_PROJECT_NUMBER,SECTOR,YEAR
Closed,,,Cambodia,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/CambodiaComplaintforwebsiteredacted.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CambodiaAirportAssessmentReportFINALWebsite.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CambodiaAirportAssessmentReport-KhmerFinal.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Conclusion_Rpt_Sihanoukville_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Conclusion_Rpt_Sihanoukville_Khmer.pdf",,,B,,"December 11, 2009",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=155,CAO,21,"Land acquisition and compensation, loss of livelihoods, noise pollution, environmental impact to a national park, categorization, community consultation, and disclosure of project information",,,,155,$7.5 million,Cambodia Airport II,25332,Infrastructure,,"December 11, 2009",,Transportation,2009
Open - Ombudsman,,,Cambodia,,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/Phnom_Penh_Asst_Rpt_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Phnom_Penh_Asst_Rpt_Khmer.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/PPIAIFCCAOResponse_4Feb2014.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/MinutesPPIATechWorkingGroupDec272013-Eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/December272013-PPIATechWorkingGroupMinutes_KH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/MinutesofthemeetingofInter-MinisterialCommittee8July14-Eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Minutes_IMC8July14-KH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WorkplanGreenGoal-PhnomPenhAirport_ENG-Feb2014.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/GGsPlanKmr-Feb2014.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/19June2014-TrainingRep-Eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Update-GG-Activities-27Feb15-Eng.pdf",,,B,,"June 07, 2013",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=205,CAO,21,"Land acquisition, forced eviction, community consultation and due diligence",,,,205,$10 million,Cambodia Airports,21363,Infrastructure,,"June 07, 2013",,Transportation,2013
Open - Ombudsman,,,Cambodia,,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/ComplainttoCAOreDragonCapital-HAGL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/VEILII-01FinalAssessmentReportMay2014.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ComplainttoCAOreDragonCapital-HAGL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/VEILII-01AssessmentReport-Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFCResponsetoVEILII-01FinalAssessmentReportMay2014.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/GroundRulesKhmer-Eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/March2015JointStatement.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement-VillagesGroup1-July292015-Eng_Kh2.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/1.ResponseLettertoGroup1signedbyHAGLCEO09072015.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/2.CEO-Letter-July2015HAGL-Eng_Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/2.CEO-Letter-July2015HAGL-Eng_Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/March2015JointStatement.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement-VillagesGroup2-16Sept2015-Eng_Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CEOletterregardinggroup2villages.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement-VillagesGroup3-19Sept2015-Eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement-Final-kh-eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOcommuniqueHAGLCambodia10March2015-Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement-VillagesKethandKachout-Eng-Kh07-29-16.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/March2015JointStatement.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement_FINAL-Eng_Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatementMarch202018-KH_VI_EN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOcommuniqueHAGLCambodia10March2015.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOcommuniqueHAGLCambodia10March2015-Kh.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOcommuniqueHAGLCambodiaNovember122015.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOcommuniqueHAGLCambodiaNovember122015_Khmer.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/JointStatement-VillagesGroup3-19Sept2015-Eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CambodiaVEIL-ProgressReportENGJuly2016.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CambodiaVEIL-ProgressReportKhmerJuly2016.pdf",,,FI ,,"February 10, 2014",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=212,CAO,21,"Loss of land, water concerns, child labor, information disclosure, community consultation and due diligence",,,,212,Quasi-equity US$16.4 million,VEIL II,20926,Financial Markets,,"February 10, 2014",,Agribusiness,2014
Closed,,,Indonesia,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_Englishtranslation_July22010.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_Indonesian_July22010.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/2011-June28MIGAResponse_AssessmentReport.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WBN_Assessment_FINAL_with_appendices_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WBN_Assessment_FINAL_with_appendices_INDO.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-M-R5-Y11-F146.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WBN_Assessment_FINAL_with_appendices_INDO.pdf",Completed,,A,,"July 06, 2010",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=158,CAO,21,"Environmental impacts to water, fields, and forests",,,,158,Proposed $207 million guarantee,PT Weda Bay Nickel,8113,,,"July 06, 2010",,Mining,2010
Closed,,,Indonesia,Completed,,,"http://www.cao-ombudsman.org/cases/document-links/documents/FPPandalliestoIFCCAO3rdcomplaintreWilmarNov2011.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarCase3AssessmentReportJuly2012.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarCase3AssessmentReportJuly20INDONESIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar3ConclusionReportDec2013.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar3ConclusionReportDec2013IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar-3APPRAISAL-FINAL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar3Appraisal-Indonesian.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarInvestigationTORFINAL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar-3APPRAISAL-FINAL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOFinalComplianceInvestigationReportWilmar3-ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOFinalComplianceInvestigationReport-INDwithtranslateddiagrams.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFCManagementResponsetotheCAOInvestigationReportonDeltaWimar0....pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOCommuniqueWilmar3SummaryofFindingsMay32016FINAL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarInvestigationTORFINAL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOComplianceMonitoringReport-Delta-Wilmar03.pdf",,,C,,"November 09, 2011",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=177,CAO,21,"Customary lands, displacement, compensation and security issues",,,,177,$33.3 million (Guarantee) & $17.5 million (Loan),Wilmar Group 25532 &,26271,Agribusiness,,"November 09, 2011",,Agriculture and Forestry,2011
Closed,,,Indonesia,,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportRajamamandalaProjectIndonesiaAug2016ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportRajamamandalaProjectIndonesiaAug2016IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/MIGAFormalResponse-Sept2016.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IndonesiaRajamandalaConclusionReport_Jan2017_Eng_000.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportRajamamandalaProjectIndonesiaAug2016IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IndonesiaRajamandalaConclusionReport_Jan2017_IND_000.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportRajamamandalaProjectIndonesiaAug2016IND.pdf",,,B,,"May 16, 2016",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=247,CAO,21,Land impacts,,,,247,$200 million (Guarantee),Rajamandala Hydropower project ,11862,,,"May 16, 2016",,Power,2016
Closed,,,Indonesia,,Completed,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/IFCResponsetoCAOAssessment_February122010.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarII_AssessmentReport_October2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar2_AssessmentReport_October2009_INDONESIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarII_AssessmentReport_October2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarstatusreportJuly2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/00109_12_12SambasMENotes_IND-ENGVersion.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/00109_12_12SambasMENotes_IND-ENGVersion.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/00109_12_12SambasMENotes_IND-ENGVersion.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar2ConclusionReportOmbudsmanJune2012.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar2ConclusionReportOmbudsmanJune2012INDONESIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,C,,"December 01, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=79,CAO,21,,,,,79,$33.3 million (Guarantee) & $17.5 million (Loan),Wilmar Group 25532 &,26271,Agribusiness,,"December 01, 2008",,Agriculture and Forestry,2008
Closed,,,Indonesia,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/IFCCAOletter18july.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/WilmarstatusreportJuly2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmarassessment24Mar09.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmarassessment13Nov07.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_11_24AgreementSajingan-ANIver-ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_11_24AgreementSajingan-ANIver-ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_10_15FINALAGREEMENTSenujuh-WSPIND-ENG-TRANSLATION.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_10_15ADDITONALNotesSenujuh-WSP-ENGTRANSLATION.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/09_12_12NotulensiPertemuanTimMONEV-ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/PandoMontelirio-01-Chiriqui_Englishtranslation.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar_Conclusionreport-Oct09.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_10_15ADDITONALNotesSenujuh-WSP-ENGTRANSLATION.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Wilmar_Conclusionreport-Oct09_INDONESIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_10_15ADDITONALNotesSenujuh-WSP-ENGTRANSLATION.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/13_06_03ResumeRapatMonitoringdanEvaluasiSajinganKecil-PTANI.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/13_04_17IND-ENGResumeRapatMonitoringdanEvaluasiSajinganKecil-PTANI.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ResumeMonevLapanganSajinganKecil30juli2011-2.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/2011_06_17MinutesofM-EMeetingANI-SK.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ClosureReport-Wilmar1-June2014English.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ClosureReport-Wilmar1-June2014IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R6_Y08_F096_III_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R6_Y08_F096_II_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R6_Y08_F096_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Audit_Report_C_I_R6_Y08_F096_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/file:///N|/cao-COMPLIANCE/02%20East%20Asia%20and%20Pacific/Indonesia%20-%20Wilmar%20I/AUDIT/FINAL%20AUDIT%20REPORT%20and%20IFC%20Response/FINAL%20REPORT/CAO_Audit_Report_C1_R6_Y08_F096_IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Audit_Report_C1_R6_Y08_F096_IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/FinalIFCsManagementResponsetoWilmarAudit2009-08-04.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/FinalIFCsManagementResponsetoWilmarAudit2009-08-04_IND.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ZoellickletterrewholeWBGfreezenov2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ZoellickletterrewholeWBGfreezenov2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Colchesteretal_August28_2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Colchesteretal_August28_2009.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ifc_ngo_let_cao_wilmar_14aug09_eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ifc_ngo_let_cao_wilmar_14aug09_eng.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/FinalIFCsManagementResponsetoWilmarAudit2009-08-04.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/TermsofReferenceforanAuditofIFC_C_1_R6_Y08_F096_II_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/TermsofReferenceforanAuditofIFC_C_1_R6_Y08_F096_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Monitoring_of_Audit_C_I_R6_Y08_F096_ENG_II.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Monitoring_of_Audit_C_I_R6_Y08_F096_Bahasa_II.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Monitoring_of_Audit_C_I_R6_Y08_F096_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Audit_Report_C1_R6_Y08_F096_IND_000.pdf",,,C,,"July 01, 2007",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=76,CAO,21,,,,,76,$33.3 million (Guarantee) & $17.5 million (Loan),Wilmar Group 25532 &,26271,Agribusiness,,"July 01, 2007",,Agriculture and Forestry,2007
Closed,,,World/Malaysia,,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/BiltPaperAssessmentReport_Feb2015.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/IFCManagementResponse_CAO_AssessmentReportBiltPapercomplaintpdf.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/CAOComplianceAppraisalReport-BiltPaper-01-July_13_2015.pdf",,,A,,"September 13, 2014",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=229,CAO,21,"Water quality, land, acquisition, loss of biodiversity",,,,229,$100 million Equity investment and $75 million in ,Bilt Paper B.V,34602,Global Manufacturing & Services,,"September 13, 2014",,Agribusiness,2014
Open - Compliance,,,World/Malaysia,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/BWIComplainttoCAO290515-Redacted-Sept1-2015.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOAssessmentRpt_MalaysiaBiltSep2015.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFC_Response_CAO_Assessment_Sept_2015_Bilt-02.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOComplianceAppraisalReport-BiltPaper-02-January_08_2016.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/BiltInvestigationReportApril132018.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFCManagementResponsetoCAOInvestigationReportonBiltPaperBVMalaysia-Complaint02.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ToRforBilt-02Investigation-May10_2016.pdf",,,A,,"June 01, 2015",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=238,CAO,21,"Labor, freedom of association",,,Completed,238,$100 million Equity investment and $75 million in ,Bilt Paper B.V,34602,Global Manufacturing & Services,,"June 01, 2015",,Agribusiness,2015
